INPUT                     STACK                                                                                                                                                                                                                                                                               ACTION
('{', '{')                [100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                             SHIFT 119
('let', 'let')            [119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                   SHIFT 17
('IDENTIFIER', 'a')       [17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                        SHIFT 28
('=', '=')                [28, 'IDENTIFIER', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                      REDUCE 45
('=', '=')                [29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                         SHIFT 60
('(', '(')                [60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                SHIFT 41
('IDENTIFIER', 'b')       [41, '(', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                       SHIFT 51
('*', '*')                [51, 'IDENTIFIER', 41, '(', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                     REDUCE 45
('*', '*')                [40, 'varName', 41, '(', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                        REDUCE 47
('*', '*')                [37, 'term', 41, '(', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                           SHIFT 79
('LITERAL_INT', '10')     [79, '*', 37, 'term', 41, '(', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                  REDUCE 7
('LITERAL_INT', '10')     [69, 'arithmeticOperator', 37, 'term', 41, '(', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                 REDUCE 18
('LITERAL_INT', '10')     [67, 'operator', 37, 'term', 41, '(', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                           SHIFT 45
(')', ')')                [45, 'LITERAL_INT', 67, 'operator', 37, 'term', 41, '(', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                        REDUCE 21
(')', ')')                [39, 'constant', 67, 'operator', 37, 'term', 41, '(', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                           REDUCE 46
(')', ')')                [37, 'term', 67, 'operator', 37, 'term', 41, '(', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                               REDUCE 80
(')', ')')                [104, 'expression', 67, 'operator', 37, 'term', 41, '(', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                        REDUCE 78
(')', ')')                [86, 'expression', 41, '(', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                     SHIFT 110
('+', '+')                [110, ')', 86, 'expression', 41, '(', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                           REDUCE 49
