INPUT                            STACK                                                                                                                                                                                                                                                                                                                                                                     ACTION
('||', '||')                     [138, ')', 121, 'commaTerm', 103, 'term', 64, '(', 33, 'functionName', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                              REDUCE 96
('||', '||')                     [42, 'functionCall', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                REDUCE 50
('||', '||')                     [37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                        SHIFT 82
('IDENTIFIER', 'IDENTIFIER')     [82, '||', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                              REDUCE 16
('IDENTIFIER', 'IDENTIFIER')     [70, 'logicalOperator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                 REDUCE 20
('IDENTIFIER', 'IDENTIFIER')     [67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                        SHIFT 51
('(', '(')                       [51, 'IDENTIFIER', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                      REDUCE 19
('(', '(')                       [33, 'functionName', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                    SHIFT 64
('IDENTIFIER', 'LITERAL_FLOAT')  [64, '(', 33, 'functionName', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                           SHIFT 51
(')', ')')                       [51, 'IDENTIFIER', 64, '(', 33, 'functionName', 67, 'operator', 37, 'term', 31, '(', 19, 'whil', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                         REDUCE 45
